Symbol,Cancer Gene Census,Name,Cytoband,Type,# Affected Cases in Cohort,# Affected Cases Across the GDC,# Mutations,Annotations,Survival
COL22A1,,"collagen, type XXII, alpha 1","8q24.23, 8q24.3",protein_coding,"172 / 1,062 (16.20%)","723 / 10,202",215,,add to survival plot
SORCS1,,sortilin-related VPS10 domain containing receptor 1,10q25.1,protein_coding,"170 / 1,062 (16.01%)","576 / 10,202",205,,add to survival plot
PXDNL,,peroxidasin-like,"8q11.22, 8q11.23",protein_coding,"170 / 1,062 (16.01%)","657 / 10,202",201,,add to survival plot
PLXNA4,,plexin A4,7q32.3,protein_coding,"169 / 1,062 (15.91%)","710 / 10,202",205,,add to survival plot
CDH9,,"cadherin 9, type 2 (T1-cadherin)",5p14.1,protein_coding,"169 / 1,062 (15.91%)","596 / 10,202",198,,add to survival plot
NPAP1,,nuclear pore associated protein 1,15q11.2,protein_coding,"169 / 1,062 (15.91%)","832 / 10,202",207,,add to survival plot
PEG3,,paternally expressed 3,19q13.43,protein_coding,"168 / 1,062 (15.82%)","705 / 10,202",200,,add to survival plot
LAMA2,,"laminin, alpha 2",6q22.33,protein_coding,"168 / 1,062 (15.82%)","695 / 10,202",201,,add to survival plot
KRAS,,Kirsten rat sarcoma viral oncogene homolog,12p12.1,protein_coding,"167 / 1,062 (15.73%)","839 / 10,202",20,Cancer Gene Census,add to survival plot
FMN2,,formin 2,1q43,protein_coding,"166 / 1,062 (15.63%)","731 / 10,202",195,,add to survival plot
DNAH11,,"dynein, axonemal, heavy chain 11",7p15.3,protein_coding,"166 / 1,062 (15.63%)","942 / 10,202",203,,add to survival plot
RIMS2,,regulating synaptic membrane exocytosis 2,8q22.3,protein_coding,"165 / 1,062 (15.54%)","740 / 10,202",202,,add to survival plot
RP1L1,,retinitis pigmentosa 1-like 1,8p23.1,protein_coding,"164 / 1,062 (15.44%)","646 / 10,202",218,,add to survival plot
FBN2,,fibrillin 2,5q23.3,protein_coding,"164 / 1,062 (15.44%)","705 / 10,202",207,,add to survival plot
NALCN,,"sodium leak channel, non selective","13q32.3, 13q33.1",protein_coding,"163 / 1,062 (15.35%)","658 / 10,202",209,,add to survival plot
KEAP1,,kelch-like ECH-associated protein 1,19p13.2,protein_coding,"163 / 1,062 (15.35%)","324 / 10,202",158,,add to survival plot
HERC2,,HECT and RLD domain containing E3 ubiquitin protein ligase 2,15q13.1,protein_coding,"162 / 1,062 (15.25%)","788 / 10,202",193,,add to survival plot
CDH12,,"cadherin 12, type 2 (N-cadherin 2)",5p14.3,protein_coding,"162 / 1,062 (15.25%)","545 / 10,202",189,,add to survival plot
PTPRD,,"protein tyrosine phosphatase, receptor type, D","9p24.1, 9p23",protein_coding,"159 / 1,062 (14.97%)","696 / 10,202",203,,add to survival plot
AHNAK,,AHNAK nucleoprotein,11q12.3,protein_coding,"159 / 1,062 (14.97%)","855 / 10,202",187,,add to survival plot
ASTN1,,astrotactin 1,1q25.2,protein_coding,"159 / 1,062 (14.97%)","602 / 10,202",201,,add to survival plot
EYS,,eyes shut homolog (Drosophila),6q12,protein_coding,"158 / 1,062 (14.88%)","671 / 10,202",179,,add to survival plot
TENM1,,teneurin transmembrane protein 1,Xq25,protein_coding,"157 / 1,062 (14.78%)","810 / 10,202",202,,add to survival plot
CPS1,,"carbamoyl-phosphate synthase 1, mitochondrial",2q34,protein_coding,"155 / 1,062 (14.60%)","469 / 10,202",179,,add to survival plot
COL6A3,,"collagen, type VI, alpha 3",2q37.3,protein_coding,"155 / 1,062 (14.60%)","850 / 10,202",198,,add to survival plot
CTNNA2,,"catenin (cadherin-associated protein), alpha 2",2p12,protein_coding,"155 / 1,062 (14.60%)","565 / 10,202",188,,add to survival plot
NLRP3,,"NLR family, pyrin domain containing 3",1q44,protein_coding,"155 / 1,062 (14.60%)","525 / 10,202",178,,add to survival plot
MYH1,,"myosin, heavy chain 1, skeletal muscle, adult",17p13.1,protein_coding,"155 / 1,062 (14.60%)","656 / 10,202",174,,add to survival plot
ADGRV1,,adhesion G protein-coupled receptor V1,5q14.3,protein_coding,"154 / 1,062 (14.50%)","1,005 / 10,202",183,,add to survival plot
TPTE,,transmembrane phosphatase with tensin homology,21p11.2,protein_coding,"153 / 1,062 (14.41%)","615 / 10,202",168,,add to survival plot
ANKRD30A,,ankyrin repeat domain 30A,10p11.21,protein_coding,"153 / 1,062 (14.41%)","602 / 10,202",176,,add to survival plot
MACF1,,microtubule-actin crosslinking factor 1,1p34.3,protein_coding,"153 / 1,062 (14.41%)","1,050 / 10,202",180,,add to survival plot
MYH2,,"myosin, heavy chain 2, skeletal muscle, adult",17p13.1,protein_coding,"153 / 1,062 (14.41%)","692 / 10,202",181,,add to survival plot
FAT1,,FAT atypical cadherin 1,4q35.2,protein_coding,"152 / 1,062 (14.31%)","875 / 10,202",179,Cancer Gene Census,add to survival plot
CRB1,,"crumbs family member 1, photoreceptor morphogenesis associated",1q31.3,protein_coding,"152 / 1,062 (14.31%)","634 / 10,202",171,,add to survival plot
SPHKAP,,"SPHK1 interactor, AKAP domain containing",2q36.3,protein_coding,"152 / 1,062 (14.31%)","706 / 10,202",185,,add to survival plot
PCDH10,,protocadherin 10,4q28.3,protein_coding,"151 / 1,062 (14.22%)","579 / 10,202",186,,add to survival plot
ZNF831,,zinc finger protein 831,20q13.32,protein_coding,"151 / 1,062 (14.22%)","631 / 10,202",186,,add to survival plot
ZNF804B,,zinc finger protein 804B,7q21.13,protein_coding,"150 / 1,062 (14.12%)","530 / 10,202",172,,add to survival plot
ADGRL3,,adhesion G protein-coupled receptor L3,4q13.1,protein_coding,"150 / 1,062 (14.12%)","588 / 10,202",170,,add to survival plot
ASXL3,,additional sex combs like transcriptional regulator 3,18q12.1,protein_coding,"149 / 1,062 (14.03%)","631 / 10,202",176,,add to survival plot
PLEC,,plectin,8q24.3,protein_coding,"147 / 1,062 (13.84%)","746 / 10,202",166,,add to survival plot
CTNND2,,"catenin (cadherin-associated protein), delta 2",5p15.2,protein_coding,"147 / 1,062 (13.84%)","591 / 10,202",173,,add to survival plot
HRNR,,hornerin,1q21.3,protein_coding,"147 / 1,062 (13.84%)","736 / 10,202",180,,add to survival plot
KIF2B,,kinesin family member 2B,17q22,protein_coding,"147 / 1,062 (13.84%)","467 / 10,202",166,,add to survival plot
SYNE2,,"spectrin repeat containing, nuclear envelope 2",14q23.2,protein_coding,"146 / 1,062 (13.75%)","897 / 10,202",183,,add to survival plot
MXRA5,,matrix-remodelling associated 5,Xp22.33,protein_coding,"146 / 1,062 (13.75%)","778 / 10,202",180,,add to survival plot
HYDIN,,"HYDIN, axonemal central pair apparatus protein",16q22.2,protein_coding,"145 / 1,062 (13.65%)","870 / 10,202",170,,add to survival plot
CDH18,,"cadherin 18, type 2",5p14.3,protein_coding,"144 / 1,062 (13.56%)","500 / 10,202",162,,add to survival plot
EPHA5,,EPH receptor A5,"4q13.1, 4q13.2",protein_coding,"144 / 1,062 (13.56%)","494 / 10,202",166,,add to survival plot
OR2L13,,"olfactory receptor, family 2, subfamily L, member 13",1q44,protein_coding,"144 / 1,062 (13.56%)","426 / 10,202",164,,add to survival plot
DNAH3,,"dynein, axonemal, heavy chain 3",16p12.3,protein_coding,"144 / 1,062 (13.56%)","884 / 10,202",168,,add to survival plot
VCAN,,versican,"5q14.2, 5q14.3",protein_coding,"143 / 1,062 (13.47%)","667 / 10,202",181,,add to survival plot
UNC79,,unc-79 homolog (C. elegans),14q32.12,protein_coding,"143 / 1,062 (13.47%)","668 / 10,202",177,,add to survival plot
ASPM,,"asp (abnormal spindle) homolog, microcephaly associated (Drosophila)",1q31.3,protein_coding,"143 / 1,062 (13.47%)","622 / 10,202",167,,add to survival plot
FCGBP,,Fc fragment of IgG binding protein,19q13.2,protein_coding,"142 / 1,062 (13.37%)","830 / 10,202",178,,add to survival plot
IGHG1,,immunoglobulin heavy constant gamma 1 (G1m marker),14q32.33,IG_C_gene,"141 / 1,062 (13.28%)","697 / 10,202",166,,add to survival plot
UNC13C,,unc-13 homolog C (C. elegans),15q21.3,protein_coding,"140 / 1,062 (13.18%)","719 / 10,202",160,,add to survival plot
CACNA1C,,"calcium channel, voltage-dependent, L type, alpha 1C subunit",12p13.33,protein_coding,"139 / 1,062 (13.09%)","698 / 10,202",165,,add to survival plot
ADAMTS20,,"ADAM metallopeptidase with thrombospondin type 1 motif, 20",12q12,protein_coding,"139 / 1,062 (13.09%)","550 / 10,202",162,,add to survival plot
FAM47C,,"family with sequence similarity 47, member C",Xp21.1,protein_coding,"138 / 1,062 (12.99%)","547 / 10,202",171,,add to survival plot
DOCK2,,dedicator of cytokinesis 2,5q35.1,protein_coding,"137 / 1,062 (12.90%)","608 / 10,202",163,,add to survival plot
MYH4,,"myosin, heavy chain 4, skeletal muscle",17p13.1,protein_coding,"137 / 1,062 (12.90%)","616 / 10,202",150,,add to survival plot
DCDC1,,doublecortin domain containing 1,"11p14.1, 11p13",protein_coding,"137 / 1,062 (12.90%)","532 / 10,202",156,,add to survival plot
LRRTM4,,leucine rich repeat transmembrane neuronal 4,2p12,protein_coding,"136 / 1,062 (12.81%)","401 / 10,202",151,,add to survival plot
KMT2C,,lysine (K)-specific methyltransferase 2C,7q36.1,protein_coding,"136 / 1,062 (12.81%)","1,003 / 10,202",160,Cancer Gene Census,add to survival plot
GRIN2B,,"glutamate receptor, ionotropic, N-methyl D-aspartate 2B",12p13.1,protein_coding,"136 / 1,062 (12.81%)","561 / 10,202",151,,add to survival plot
MYH8,,"myosin, heavy chain 8, skeletal muscle, perinatal",17p13.1,protein_coding,"136 / 1,062 (12.81%)","622 / 10,202",156,,add to survival plot
MROH2B,,maestro heat-like repeat family member 2B,5p13.1,protein_coding,"135 / 1,062 (12.71%)","632 / 10,202",167,,add to survival plot
COL12A1,,"collagen, type XII, alpha 1","6q13, 6q14.1",protein_coding,"135 / 1,062 (12.71%)","661 / 10,202",151,,add to survival plot
FLG2,,filaggrin family member 2,1q21.3,protein_coding,"135 / 1,062 (12.71%)","672 / 10,202",160,,add to survival plot
MRC1,,"mannose receptor, C type 1",10p12.33,protein_coding,"134 / 1,062 (12.62%)","493 / 10,202",150,,add to survival plot
ZAN,,zonadhesin (gene/pseudogene),7q22.1,protein_coding,"134 / 1,062 (12.62%)","659 / 10,202",160,,add to survival plot
NF1,,neurofibromin 1,17q11.2,protein_coding,"134 / 1,062 (12.62%)","776 / 10,202",155,Cancer Gene Census,add to survival plot
DCAF4L2,,DDB1 and CUL4 associated factor 4-like 2,8q21.3,protein_coding,"134 / 1,062 (12.62%)","454 / 10,202",144,,add to survival plot
KIAA1109,,KIAA1109,4q27,protein_coding,"134 / 1,062 (12.62%)","715 / 10,202",157,,add to survival plot
MGAM,,maltase-glucoamylase (alpha-glucosidase),7q34,protein_coding,"133 / 1,062 (12.52%)","704 / 10,202",151,,add to survival plot
THSD7A,,"thrombospondin, type I, domain containing 7A",7p21.3,protein_coding,"133 / 1,062 (12.52%)","514 / 10,202",164,,add to survival plot
TG,,thyroglobulin,8q24.22,protein_coding,"132 / 1,062 (12.43%)","725 / 10,202",162,,add to survival plot
TSHZ3,,teashirt zinc finger homeobox 3,19q12,protein_coding,"132 / 1,062 (12.43%)","584 / 10,202",157,,add to survival plot
STAB2,,stabilin 2,12q23.3,protein_coding,"132 / 1,062 (12.43%)","625 / 10,202",147,,add to survival plot
GRM8,,"glutamate receptor, metabotropic 8",7q31.33,protein_coding,"132 / 1,062 (12.43%)","531 / 10,202",154,,add to survival plot
THSD7B,,"thrombospondin, type I, domain containing 7B",2q22.1,protein_coding,"131 / 1,062 (12.34%)","676 / 10,202",161,,add to survival plot
SLITRK3,,"SLIT and NTRK-like family, member 3",3q26.1,protein_coding,"131 / 1,062 (12.34%)","469 / 10,202",148,,add to survival plot
PRUNE2,,prune homolog 2 (Drosophila),9q21.2,protein_coding,"131 / 1,062 (12.34%)","658 / 10,202",157,,add to survival plot
CNTNAP4,,contactin associated protein-like 4,16q23.1,protein_coding,"131 / 1,062 (12.34%)","504 / 10,202",153,,add to survival plot
MYO18B,,myosin XVIIIB,22q12.1,protein_coding,"131 / 1,062 (12.34%)","675 / 10,202",149,,add to survival plot
GPR158,,G protein-coupled receptor 158,10p12.1,protein_coding,"129 / 1,062 (12.15%)","521 / 10,202",145,,add to survival plot
FLNC,,"filamin C, gamma",7q32.1,protein_coding,"129 / 1,062 (12.15%)","657 / 10,202",158,,add to survival plot
TLR4,,toll-like receptor 4,9q33.1,protein_coding,"129 / 1,062 (12.15%)","410 / 10,202",144,,add to survival plot
NRXN3,,neurexin 3,"14q24.3, 14q31.1",protein_coding,"129 / 1,062 (12.15%)","629 / 10,202",152,,add to survival plot
MAGEC1,,melanoma antigen family C1,Xq27.2,protein_coding,"128 / 1,062 (12.05%)","614 / 10,202",158,,add to survival plot
HECW1,,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1","7p14.1, 7p13",protein_coding,"128 / 1,062 (12.05%)","623 / 10,202",155,,add to survival plot
ZNF208,,zinc finger protein 208,19p12,protein_coding,"128 / 1,062 (12.05%)","534 / 10,202",151,,add to survival plot
TAF1L,,"TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa-like",9p21.1,protein_coding,"128 / 1,062 (12.05%)","636 / 10,202",145,,add to survival plot
LAMA1,,"laminin, alpha 1",18p11.31,protein_coding,"128 / 1,062 (12.05%)","753 / 10,202",157,,add to survival plot
MMP16,,matrix metallopeptidase 16 (membrane-inserted),8q21.3,protein_coding,"128 / 1,062 (12.05%)","453 / 10,202",137,,add to survival plot
PTPRB,,"protein tyrosine phosphatase, receptor type, B",12q15,protein_coding,"127 / 1,062 (11.96%)","601 / 10,202",152,Cancer Gene Census,add to survival plot
TMEM132D,,transmembrane protein 132D,12q24.33,protein_coding,"127 / 1,062 (11.96%)","624 / 10,202",152,,add to survival plot
TENM3,,teneurin transmembrane protein 3,"4q34.3, 4q35.1",protein_coding,"126 / 1,062 (11.86%)","708 / 10,202",137,,add to survival plot
DCHS2,,dachsous cadherin-related 2,4q31.3,protein_coding,"126 / 1,062 (11.86%)","741 / 10,202",154,,add to survival plot
XIST,,X inactive specific transcript (non-protein coding),Xq13.2,lincRNA,"125 / 1,062 (11.77%)","554 / 10,202",136,,add to survival plot
GRIN2A,,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A",16p13.2,protein_coding,"125 / 1,062 (11.77%)","681 / 10,202",146,Cancer Gene Census,add to survival plot
DPP6,,dipeptidyl-peptidase 6,7q36.2,protein_coding,"124 / 1,062 (11.68%)","504 / 10,202",150,,add to survival plot
ASTN2,,astrotactin 2,9q33.1,protein_coding,"124 / 1,062 (11.68%)","486 / 10,202",144,,add to survival plot
FAM47A,,"family with sequence similarity 47, member A",Xp21.1,protein_coding,"124 / 1,062 (11.68%)","500 / 10,202",152,,add to survival plot
DYSF,,dysferlin,2p13.2,protein_coding,"124 / 1,062 (11.68%)","614 / 10,202",140,,add to survival plot
LCT,,lactase,2q21.3,protein_coding,"123 / 1,062 (11.58%)","565 / 10,202",139,,add to survival plot
ADAMTS16,,"ADAM metallopeptidase with thrombospondin type 1 motif, 16",5p15.32,protein_coding,"123 / 1,062 (11.58%)","529 / 10,202",134,,add to survival plot
SCN2A,,"sodium channel, voltage gated, type II alpha subunit",2q24.3,protein_coding,"122 / 1,062 (11.49%)","591 / 10,202",144,,add to survival plot
ZNF99,,zinc finger protein 99,19p12,protein_coding,"122 / 1,062 (11.49%)","505 / 10,202",138,,add to survival plot
POM121L12,,POM121 transmembrane nucleoporin-like 12,7p12.1,protein_coding,"122 / 1,062 (11.49%)","435 / 10,202",125,,add to survival plot
LRFN5,,leucine rich repeat and fibronectin type III domain containing 5,14q21.1,protein_coding,"122 / 1,062 (11.49%)","451 / 10,202",131,,add to survival plot
MYH7,,"myosin, heavy chain 7, cardiac muscle, beta",14q11.2,protein_coding,"122 / 1,062 (11.49%)","591 / 10,202",131,,add to survival plot
BIRC6,,baculoviral IAP repeat containing 6,2p22.3,protein_coding,"122 / 1,062 (11.49%)","688 / 10,202",145,,add to survival plot
CDKN2A,,cyclin-dependent kinase inhibitor 2A,9p21.3,protein_coding,"121 / 1,062 (11.39%)","514 / 10,202",101,Cancer Gene Census,add to survival plot
MYH13,,"myosin, heavy chain 13, skeletal muscle",17p13.1,protein_coding,"121 / 1,062 (11.39%)","570 / 10,202",136,,add to survival plot
VPS13B,,vacuolar protein sorting 13 homolog B (yeast),8q22.2,protein_coding,"120 / 1,062 (11.30%)","728 / 10,202",139,,add to survival plot
SALL1,,spalt-like transcription factor 1,16q12.1,protein_coding,"119 / 1,062 (11.21%)","549 / 10,202",148,,add to survival plot
TRPA1,,"transient receptor potential cation channel, subfamily A, member 1",8q21.11,protein_coding,"119 / 1,062 (11.21%)","458 / 10,202",137,,add to survival plot
SLC8A1,,"solute carrier family 8 (sodium/calcium exchanger), member 1",2p22.1,protein_coding,"118 / 1,062 (11.11%)","433 / 10,202",128,,add to survival plot
DUSP27,,dual specificity phosphatase 27 (putative),1q24.1,protein_coding,"118 / 1,062 (11.11%)","436 / 10,202",136,,add to survival plot
MYH6,,"myosin, heavy chain 6, cardiac muscle, alpha",14q11.2,protein_coding,"117 / 1,062 (11.02%)","550 / 10,202",138,,add to survival plot
PCDH17,,protocadherin 17,13q21.1,protein_coding,"117 / 1,062 (11.02%)","588 / 10,202",137,,add to survival plot
SCN1A,,"sodium channel, voltage gated, type I alpha subunit",2q24.3,protein_coding,"117 / 1,062 (11.02%)","641 / 10,202",146,,add to survival plot
FER1L6,,fer-1-like family member 6,8q24.13,protein_coding,"116 / 1,062 (10.92%)","568 / 10,202",138,,add to survival plot
ZNF521,,zinc finger protein 521,18q11.2,protein_coding,"116 / 1,062 (10.92%)","484 / 10,202",147,Cancer Gene Census,add to survival plot
GRID2,,"glutamate receptor, ionotropic, delta 2","4q22.1, 4q22.2",protein_coding,"116 / 1,062 (10.92%)","517 / 10,202",129,,add to survival plot
PTPRT,,"protein tyrosine phosphatase, receptor type, T","20q12, 20q13.11",protein_coding,"116 / 1,062 (10.92%)","720 / 10,202",139,,add to survival plot
ADCY8,,adenylate cyclase 8 (brain),8q24.22,protein_coding,"116 / 1,062 (10.92%)","577 / 10,202",128,,add to survival plot
SPATA31D1,,"SPATA31 subfamily D, member 1",9q21.32,protein_coding,"116 / 1,062 (10.92%)","474 / 10,202",135,,add to survival plot
