######## Chromosome chr1 #########

gene 1/5050 for chr1:	DDX11L1
gene 69/5050 for chr1:	ISG15
gene 70/5050 for chr1:	RP11-54O7.10
gene 71/5050 for chr1:	RP11-54O7.11
gene 72/5050 for chr1:	AGRN
gene 73/5050 for chr1:	RP11-54O7.14
gene 74/5050 for chr1:	RP11-465B22.3
gene 75/5050 for chr1:	RP11-54O7.18
gene 76/5050 for chr1:	RNF223
gene 77/5050 for chr1:	C1orf159
gene 78/5050 for chr1:	LINC01342
gene 79/5050 for chr1:	MIR200B
gene 80/5050 for chr1:	MIR200A
gene 81/5050 for chr1:	MIR429
gene 82/5050 for chr1:	RP11-465B22.8
gene 83/5050 for chr1:	TTLL10-AS1
gene 84/5050 for chr1:	TTLL10
gene 85/5050 for chr1:	TNFRSF18
gene 86/5050 for chr1:	TNFRSF4
gene 87/5050 for chr1:	SDF4
gene 88/5050 for chr1:	B3GALT6
gene 89/5050 for chr1:	FAM132A
gene 90/5050 for chr1:	RP5-902P8.12
gene 91/5050 for chr1:	UBE2J2
gene 92/5050 for chr1:	RP5-902P8.10
gene 93/5050 for chr1:	SCNN1D
gene 94/5050 for chr1:	ACAP3
gene 95/5050 for chr1:	MIR6726
gene 96/5050 for chr1:	PUSL1
gene 97/5050 for chr1:	CPSF3L
gene 98/5050 for chr1:	RP5-890O3.9
gene 99/5050 for chr1:	CPTP
gene 100/5050 for chr1:	TAS1R3
gene 101/5050 for chr1:	DVL1
gene 102/5050 for chr1:	MXRA8
gene 103/5050 for chr1:	AURKAIP1
gene 104/5050 for chr1:	NDUFB4P8
gene 105/5050 for chr1:	CCNL2
gene 106/5050 for chr1:	RP4-758J18.2
gene 107/5050 for chr1:	MRPL20
gene 108/5050 for chr1:	RN7SL657P
gene 109/5050 for chr1:	RP4-758J18.13
gene 110/5050 for chr1:	ANKRD65
gene 111/5050 for chr1:	RP4-758J18.7
gene 112/5050 for chr1:	TMEM88B
gene 113/5050 for chr1:	RP4-758J18.10
gene 114/5050 for chr1:	VWA1
gene 115/5050 for chr1:	ATAD3C
gene 116/5050 for chr1:	ATAD3B
gene 117/5050 for chr1:	ATAD3A
gene 118/5050 for chr1:	TMEM240
gene 119/5050 for chr1:	SSU72
gene 120/5050 for chr1:	RP5-832C2.5
gene 121/5050 for chr1:	AL645728.1
gene 122/5050 for chr1:	RP11-345P4.11
gene 123/5050 for chr1:	FNDC10
gene 124/5050 for chr1:	RP11-345P4.9
gene 125/5050 for chr1:	MIB2
gene 126/5050 for chr1:	MMP23B
gene 127/5050 for chr1:	CDK11B
gene 128/5050 for chr1:	RP11-345P4.10
gene 129/5050 for chr1:	SLC35E2B
gene 130/5050 for chr1:	RP11-345P4.6
gene 131/5050 for chr1:	MMP23A
gene 132/5050 for chr1:	CDK11A
gene 133/5050 for chr1:	RP1-283E3.8
gene 134/5050 for chr1:	RP1-283E3.4
gene 135/5050 for chr1:	SLC35E2
gene 136/5050 for chr1:	NADK
gene 137/5050 for chr1:	GNB1
gene 138/5050 for chr1:	RP1-140A9.1
gene 139/5050 for chr1:	CALML6
gene 140/5050 for chr1:	TMEM52
gene 141/5050 for chr1:	CFAP74
gene 142/5050 for chr1:	RP11-547D24.1
gene 143/5050 for chr1:	GABRD
gene 144/5050 for chr1:	RP11-547D24.3
gene 145/5050 for chr1:	PRKCZ
gene 146/5050 for chr1:	RP5-892K4.1
gene 147/5050 for chr1:	RP11-181G12.2
gene 148/5050 for chr1:	FAAP20
gene 149/5050 for chr1:	RP11-181G12.4
gene 150/5050 for chr1:	SKI
gene 151/5050 for chr1:	MORN1
gene 152/5050 for chr1:	RP4-713A8.1
gene 153/5050 for chr1:	RP4-740C4.5
gene 154/5050 for chr1:	RP4-740C4.7
gene 155/5050 for chr1:	RER1
gene 156/5050 for chr1:	PEX10
gene 157/5050 for chr1:	PLCH2
gene 158/5050 for chr1:	RP3-395M20.2
gene 159/5050 for chr1:	RP3-395M20.3
gene 160/5050 for chr1:	PANK4
gene 161/5050 for chr1:	HES5
gene 162/5050 for chr1:	RP3-395M20.12
gene 163/5050 for chr1:	RP3-395M20.8
gene 164/5050 for chr1:	TNFRSF14
gene 165/5050 for chr1:	RP3-395M20.7
gene 166/5050 for chr1:	RP3-395M20.9
gene 167/5050 for chr1:	FAM213B
gene 168/5050 for chr1:	MMEL1
gene 169/5050 for chr1:	RP13-436F16.1
gene 170/5050 for chr1:	TTC34
gene 171/5050 for chr1:	ABC14-1188822O7.1
gene 172/5050 for chr1:	RP11-740P5.2
gene 173/5050 for chr1:	RP11-740P5.3
gene 174/5050 for chr1:	ACTRT2
gene 175/5050 for chr1:	LINC00982
gene 176/5050 for chr1:	PRDM16
gene 177/5050 for chr1:	MIR4251
gene 178/5050 for chr1:	RP1-163G9.2
gene 179/5050 for chr1:	RP11-193J6.1
gene 180/5050 for chr1:	RP11-22L13.1
gene 181/5050 for chr1:	ARHGEF16
gene 182/5050 for chr1:	RP11-168F9.2
gene 183/5050 for chr1:	MEGF6
gene 184/5050 for chr1:	MIR551A
gene 185/5050 for chr1:	RP11-46F15.2
gene 186/5050 for chr1:	TPRG1L
gene 187/5050 for chr1:	WRAP73
gene 188/5050 for chr1:	TP73
gene 189/5050 for chr1:	RP5-1092A11.5
gene 190/5050 for chr1:	RP5-1092A11.2
gene 191/5050 for chr1:	TP73-AS1
gene 192/5050 for chr1:	CCDC27
gene 193/5050 for chr1:	SMIM1
gene 194/5050 for chr1:	LRRC47
gene 195/5050 for chr1:	RN7SL574P
gene 196/5050 for chr1:	RP1-286D6.5
gene 197/5050 for chr1:	CEP104
gene 198/5050 for chr1:	DFFB
gene 199/5050 for chr1:	C1orf174
gene 200/5050 for chr1:	LINC01134
gene 201/5050 for chr1:	LINC01346
gene 202/5050 for chr1:	RP13-614K11.2
gene 203/5050 for chr1:	EEF1DP6
gene 204/5050 for chr1:	RP5-1166F10.1
gene 205/5050 for chr1:	RP1-37J18.1
gene 206/5050 for chr1:	RP1-37J18.2
gene 207/5050 for chr1:	AJAP1
gene 208/5050 for chr1:	RP11-542C10.1
gene 209/5050 for chr1:	RP1-58B11.1
gene 210/5050 for chr1:	RP3-491M17.1
gene 211/5050 for chr1:	RP11-154H17.1
gene 212/5050 for chr1:	MIR4417
gene 213/5050 for chr1:	MIR4689
gene 214/5050 for chr1:	NPHP4
gene 215/5050 for chr1:	KCNAB2
gene 216/5050 for chr1:	CHD5
gene 217/5050 for chr1:	RPL22
gene 218/5050 for chr1:	RP1-120G22.11
gene 219/5050 for chr1:	RNF207
gene 220/5050 for chr1:	ICMT
gene 221/5050 for chr1:	LINC00337
gene 222/5050 for chr1:	HES3
gene 223/5050 for chr1:	GPR153
gene 224/5050 for chr1:	ACOT7
gene 225/5050 for chr1:	RP1-202O8.3
gene 226/5050 for chr1:	HES2
gene 227/5050 for chr1:	ESPN
gene 228/5050 for chr1:	MIR4252
gene 229/5050 for chr1:	RP1-202O8.2
gene 230/5050 for chr1:	TNFRSF25
gene 231/5050 for chr1:	PLEKHG5
gene 232/5050 for chr1:	NOL9
gene 233/5050 for chr1:	RNU6-731P
gene 234/5050 for chr1:	RP11-58A11.2
gene 235/5050 for chr1:	TAS1R1
gene 236/5050 for chr1:	ZBTB48
gene 237/5050 for chr1:	KLHL21
gene 238/5050 for chr1:	PHF13
gene 239/5050 for chr1:	THAP3
gene 240/5050 for chr1:	DNAJC11
gene 241/5050 for chr1:	RP11-242F24.1
gene 242/5050 for chr1:	RP11-312B8.1
gene 243/5050 for chr1:	CAMTA1
gene 244/5050 for chr1:	RP11-312B8.2
gene 245/5050 for chr1:	RP11-334N17.1
gene 246/5050 for chr1:	RNU1-8P
gene 247/5050 for chr1:	CAMTA1-IT1
gene 248/5050 for chr1:	RP3-453P22.2
gene 249/5050 for chr1:	RP4-549F15.1
gene 250/5050 for chr1:	RP11-338N10.1
gene 251/5050 for chr1:	RP11-338N10.2
gene 252/5050 for chr1:	RP11-338N10.3
gene 253/5050 for chr1:	VAMP3
gene 254/5050 for chr1:	RP3-467L1.6
gene 255/5050 for chr1:	PER3
gene 256/5050 for chr1:	RP3-467L1.4
gene 257/5050 for chr1:	UTS2
gene 258/5050 for chr1:	TNFRSF9
gene 259/5050 for chr1:	RP5-892F13.2
gene 260/5050 for chr1:	PARK7
gene 261/5050 for chr1:	Y_RNA
gene 262/5050 for chr1:	ERRFI1
gene 263/5050 for chr1:	RP11-431K24.1
gene 264/5050 for chr1:	CTA-215D11.4
gene 265/5050 for chr1:	RP11-431K24.2
gene 266/5050 for chr1:	RP11-431K24.3
gene 267/5050 for chr1:	RNU1-7P
gene 268/5050 for chr1:	RP11-431K24.4
gene 269/5050 for chr1:	RNU6-991P
gene 270/5050 for chr1:	SLC45A1
gene 271/5050 for chr1:	RERE
gene 272/5050 for chr1:	RP5-1115A15.1
gene 273/5050 for chr1:	SNORA77
gene 274/5050 for chr1:	RP5-1115A15.2
gene 275/5050 for chr1:	RPL7P11
gene 276/5050 for chr1:	RPL7P7
gene 277/5050 for chr1:	RP4-633I8.3
gene 278/5050 for chr1:	RP4-633I8.4
gene 279/5050 for chr1:	RPL23AP19
gene 280/5050 for chr1:	ENO1
gene 281/5050 for chr1:	MIR6728
gene 282/5050 for chr1:	ENO1-IT1
gene 283/5050 for chr1:	ENO1-AS1
gene 284/5050 for chr1:	RNU6-304P
gene 285/5050 for chr1:	HMGN2P17
gene 286/5050 for chr1:	RP3-477M7.5
gene 287/5050 for chr1:	RP3-477M7.6
gene 288/5050 for chr1:	CA6
gene 289/5050 for chr1:	RN7SL451P
gene 290/5050 for chr1:	SLC2A7
gene 291/5050 for chr1:	SLC2A5
gene 292/5050 for chr1:	SCARNA16
gene 293/5050 for chr1:	GPR157
gene 294/5050 for chr1:	MIR34A
gene 295/5050 for chr1:	RP3-510D11.2
gene 296/5050 for chr1:	RP3-510D11.4
gene 297/5050 for chr1:	H6PD
gene 298/5050 for chr1:	SPSB1
gene 299/5050 for chr1:	RNA5SP40
gene 300/5050 for chr1:	RP13-392I16.1
gene 301/5050 for chr1:	SLC25A33
gene 302/5050 for chr1:	RP13-15M17.1
gene 303/5050 for chr1:	TMEM201
gene 304/5050 for chr1:	PIK3CD
gene 305/5050 for chr1:	PIK3CD-AS1
gene 306/5050 for chr1:	RP11-558F24.2
gene 307/5050 for chr1:	PIK3CD-AS2
gene 308/5050 for chr1:	CLSTN1
gene 309/5050 for chr1:	MZT1P1
gene 310/5050 for chr1:	AL357140.1
gene 311/5050 for chr1:	CTNNBIP1
gene 312/5050 for chr1:	RP11-84A14.5
gene 313/5050 for chr1:	LZIC
gene 314/5050 for chr1:	RP11-84A14.4
gene 315/5050 for chr1:	NMNAT1
gene 316/5050 for chr1:	RN7SKP269
gene 317/5050 for chr1:	RP11-84A14.6
gene 318/5050 for chr1:	MIR5697
gene 319/5050 for chr1:	RP11-807G9.2
gene 320/5050 for chr1:	RBP7
gene 321/5050 for chr1:	UBE4B
gene 322/5050 for chr1:	RP11-496H15.2
gene 323/5050 for chr1:	PGAM1P11
gene 324/5050 for chr1:	RNU6-828P
gene 325/5050 for chr1:	KIF1B
gene 326/5050 for chr1:	MIR1273D
gene 327/5050 for chr1:	RNU6-37P
gene 328/5050 for chr1:	RN7SL731P
gene 329/5050 for chr1:	PGD
gene 330/5050 for chr1:	RP4-736L20.3
gene 331/5050 for chr1:	APITD1-CORT
gene 332/5050 for chr1:	APITD1
gene 333/5050 for chr1:	CORT
gene 334/5050 for chr1:	DFFA
gene 335/5050 for chr1:	RP5-1113E3.3
gene 336/5050 for chr1:	PEX14
gene 337/5050 for chr1:	RN7SL614P
gene 338/5050 for chr1:	CASZ1
gene 339/5050 for chr1:	RP4-734G22.3
gene 340/5050 for chr1:	HSPE1P24
gene 341/5050 for chr1:	C1orf127
gene 342/5050 for chr1:	CFL1P6
gene 343/5050 for chr1:	TARDBP
gene 344/5050 for chr1:	RP4-635E18.9
gene 345/5050 for chr1:	MASP2
gene 346/5050 for chr1:	RP4-635E18.8
gene 347/5050 for chr1:	SRM
gene 348/5050 for chr1:	EXOSC10
gene 349/5050 for chr1:	RP4-635E18.7
gene 350/5050 for chr1:	RP4-635E18.6
gene 351/5050 for chr1:	MTOR
gene 352/5050 for chr1:	MTOR-AS1
gene 353/5050 for chr1:	RNU6-537P
gene 354/5050 for chr1:	ANGPTL7
gene 355/5050 for chr1:	RNU6-291P
gene 356/5050 for chr1:	RPL39P6
gene 357/5050 for chr1:	UBIAD1
gene 358/5050 for chr1:	UBE2V2P3
gene 359/5050 for chr1:	MTCYBP45
gene 360/5050 for chr1:	DISP3
gene 361/5050 for chr1:	RP1-69M21.2
gene 362/5050 for chr1:	FBXO2
gene 363/5050 for chr1:	FBXO44
gene 364/5050 for chr1:	FBXO6
gene 365/5050 for chr1:	MAD2L2
gene 366/5050 for chr1:	DRAXIN
gene 367/5050 for chr1:	AGTRAP
gene 368/5050 for chr1:	C1orf167
gene 369/5050 for chr1:	RP11-56N19.5
gene 370/5050 for chr1:	MTHFR
gene 371/5050 for chr1:	CLCN6
gene 372/5050 for chr1:	NPPA-AS1
gene 373/5050 for chr1:	NPPA-AS1_1
gene 374/5050 for chr1:	NPPA-AS1_2
gene 375/5050 for chr1:	NPPA
gene 376/5050 for chr1:	NPPA-AS1_3
gene 377/5050 for chr1:	NPPB
gene 378/5050 for chr1:	RP5-934G17.6
gene 379/5050 for chr1:	RNU5E-1
gene 380/5050 for chr1:	RNU5E-4P
gene 381/5050 for chr1:	KIAA2013
gene 382/5050 for chr1:	PLOD1
gene 383/5050 for chr1:	MFN2
gene 384/5050 for chr1:	RP5-1077B9.5
gene 385/5050 for chr1:	MIIP
gene 386/5050 for chr1:	MIR6729
gene 387/5050 for chr1:	RN7SL649P
gene 388/5050 for chr1:	TNFRSF8
gene 389/5050 for chr1:	RNU6-777P
gene 390/5050 for chr1:	RPL23AP89
gene 391/5050 for chr1:	TNFRSF1B
gene 392/5050 for chr1:	MIR4632
gene 393/5050 for chr1:	RP5-1118D24.2
gene 394/5050 for chr1:	SNORA70
gene 395/5050 for chr1:	VPS13D
gene 396/5050 for chr1:	SNORA59A
gene 397/5050 for chr1:	RP5-888M10.2
gene 398/5050 for chr1:	DHRS3
gene 399/5050 for chr1:	RNU6ATAC18P
gene 400/5050 for chr1:	MIR6730
gene 401/5050 for chr1:	RP11-474O21.5
gene 402/5050 for chr1:	AADACL4
gene 403/5050 for chr1:	RP11-474O21.2
gene 404/5050 for chr1:	AADACL3
gene 405/5050 for chr1:	C1orf158
gene 406/5050 for chr1:	PRAMEF12
gene 407/5050 for chr1:	PRAMEF1
gene 408/5050 for chr1:	RP5-845O24.8
gene 409/5050 for chr1:	PRAMEF11
gene 410/5050 for chr1:	PRAMEF30P
gene 411/5050 for chr1:	HNRNPCL1
gene 412/5050 for chr1:	PRAMEF2
gene 413/5050 for chr1:	PRAMEF4
gene 414/5050 for chr1:	PRAMEF10
gene 415/5050 for chr1:	PRAMEF7
gene 416/5050 for chr1:	RNU6-1072P
gene 417/5050 for chr1:	PRAMEF29P
gene 418/5050 for chr1:	PRAMEF6
gene 419/5050 for chr1:	PRAMEF28P
gene 420/5050 for chr1:	PRAMEF27
gene 421/5050 for chr1:	PRAMEF25
gene 422/5050 for chr1:	HNRNPCL3
gene 423/5050 for chr1:	PRAMEF34P
gene 424/5050 for chr1:	PRAMEF35P
gene 425/5050 for chr1:	HNRNPCL2
gene 426/5050 for chr1:	PRAMEF36P
gene 427/5050 for chr1:	RP13-221M14.2
gene 428/5050 for chr1:	PRAMEF26
gene 429/5050 for chr1:	HNRNPCL4
gene 430/5050 for chr1:	PRAMEF9
gene 431/5050 for chr1:	PRAMEF13
gene 432/5050 for chr1:	PRAMEF18
gene 433/5050 for chr1:	PRAMEF31P
gene 434/5050 for chr1:	PRAMEF5
gene 435/5050 for chr1:	PRAMEF32P
gene 436/5050 for chr1:	RNU6-771P
gene 437/5050 for chr1:	PRAMEF8
gene 438/5050 for chr1:	PRAMEF15
gene 439/5050 for chr1:	PRAMEF33P
gene 440/5050 for chr1:	RP11-219C24.10
gene 441/5050 for chr1:	PRAMEF14
gene 442/5050 for chr1:	PRAMEF19
gene 443/5050 for chr1:	PRAMEF17
gene 444/5050 for chr1:	PRAMEF20
gene 445/5050 for chr1:	LRRC38
gene 446/5050 for chr1:	RP4-597A16.2
gene 447/5050 for chr1:	BRWD1P1
gene 448/5050 for chr1:	PDPN
gene 449/5050 for chr1:	RNA5SP41
gene 450/5050 for chr1:	CTA-520D8.2
gene 451/5050 for chr1:	SCARNA11
gene 452/5050 for chr1:	PRDM2
gene 453/5050 for chr1:	KAZN
gene 454/5050 for chr1:	RNU6-1265P
gene 455/5050 for chr1:	RP11-344F13.1
gene 456/5050 for chr1:	RP4-704D23.1
gene 457/5050 for chr1:	TBCAP2
gene 458/5050 for chr1:	TMEM51-AS1
gene 459/5050 for chr1:	TMEM51
gene 460/5050 for chr1:	C1orf195
gene 461/5050 for chr1:	RP1-21O18.3
gene 462/5050 for chr1:	RP5-903E17.2
gene 463/5050 for chr1:	FHAD1
gene 464/5050 for chr1:	RP3-467K16.2
gene 465/5050 for chr1:	RP3-467K16.7
gene 466/5050 for chr1:	RP3-467K16.4
gene 467/5050 for chr1:	EFHD2
gene 468/5050 for chr1:	CTRC
gene 469/5050 for chr1:	CELA2A
gene 470/5050 for chr1:	CELA2B
gene 471/5050 for chr1:	CASP9
gene 472/5050 for chr1:	DNAJC16
gene 473/5050 for chr1:	SCARNA21
gene 474/5050 for chr1:	RP4-680D5.8
gene 475/5050 for chr1:	AGMAT
gene 476/5050 for chr1:	RP4-680D5.2
gene 477/5050 for chr1:	CHCHD2P6
gene 478/5050 for chr1:	RNU7-179P
gene 479/5050 for chr1:	RP4-680D5.4
gene 480/5050 for chr1:	DDI2
gene 481/5050 for chr1:	RSC1A1
gene 482/5050 for chr1:	RP4-680D5.9
gene 483/5050 for chr1:	PLEKHM2
gene 484/5050 for chr1:	RP11-288I21.1
gene 485/5050 for chr1:	SLC25A34
gene 486/5050 for chr1:	RP11-169K16.4
gene 487/5050 for chr1:	TMEM82
gene 488/5050 for chr1:	FBLIM1
gene 489/5050 for chr1:	RPL12P14
gene 490/5050 for chr1:	UQCRHL
gene 491/5050 for chr1:	RP11-169K16.8
gene 492/5050 for chr1:	FLJ37453
gene 493/5050 for chr1:	SPEN
gene 494/5050 for chr1:	RP1-134O19.3
gene 495/5050 for chr1:	ZBTB17
gene 496/5050 for chr1:	RP11-5P18.1
gene 497/5050 for chr1:	RP11-5P18.3
gene 498/5050 for chr1:	RP11-5P18.11
gene 499/5050 for chr1:	TBC1D3P6
gene 500/5050 for chr1:	C1orf64
gene 501/5050 for chr1:	RP11-5P18.5
gene 502/5050 for chr1:	HSPB7
gene 503/5050 for chr1:	CLCNKA
gene 504/5050 for chr1:	RP11-5P18.10
gene 505/5050 for chr1:	CLCNKB
gene 506/5050 for chr1:	FAM131C
gene 507/5050 for chr1:	EPHA2
gene 508/5050 for chr1:	RP11-276H7.2
gene 509/5050 for chr1:	RP11-276H7.3
gene 510/5050 for chr1:	ARHGEF19
gene 511/5050 for chr1:	ARHGEF19-AS1
gene 512/5050 for chr1:	ANO7L1
gene 513/5050 for chr1:	RSG1
gene 514/5050 for chr1:	MT1XP1
gene 515/5050 for chr1:	FBXO42
gene 516/5050 for chr1:	SZRD1
gene 517/5050 for chr1:	RP11-430L17.1
gene 518/5050 for chr1:	SPATA21
gene 519/5050 for chr1:	NECAP2
gene 520/5050 for chr1:	RP4-798A10.2
gene 521/5050 for chr1:	CROCCP3
gene 522/5050 for chr1:	RNU1-1
gene 523/5050 for chr1:	RP4-798A10.7
gene 524/5050 for chr1:	RP4-798A10.4
gene 525/5050 for chr1:	RP5-875O13.1
gene 526/5050 for chr1:	RNU1-6P
gene 527/5050 for chr1:	FAM231B
gene 528/5050 for chr1:	RP5-875O13.6
gene 529/5050 for chr1:	NBPF1
gene 530/5050 for chr1:	RP5-1182A14.5
gene 531/5050 for chr1:	CROCCP2
gene 532/5050 for chr1:	MST1P2
gene 533/5050 for chr1:	RP1-163M9.8
gene 534/5050 for chr1:	RNU1-3
gene 535/5050 for chr1:	FAM231A
gene 536/5050 for chr1:	RP5-875O13.7
gene 537/5050 for chr1:	EIF1AXP1
gene 538/5050 for chr1:	ESPNP
gene 539/5050 for chr1:	RP1-163M9.7
gene 540/5050 for chr1:	FAM231C
gene 541/5050 for chr1:	RP5-1182A14.7
gene 542/5050 for chr1:	CROCC
gene 543/5050 for chr1:	CROCCP4
gene 544/5050 for chr1:	RNU1-4
gene 545/5050 for chr1:	MST1L
gene 546/5050 for chr1:	RP11-108M9.1
gene 547/5050 for chr1:	RP11-108M9.2
gene 548/5050 for chr1:	MIR3675
gene 549/5050 for chr1:	RP11-108M9.3
gene 550/5050 for chr1:	RNU1-5P
gene 551/5050 for chr1:	RP11-108M9.4
gene 552/5050 for chr1:	RP11-108M9.5
gene 553/5050 for chr1:	RNU1-2
gene 554/5050 for chr1:	RP11-108M9.6
gene 555/5050 for chr1:	MFAP2
gene 556/5050 for chr1:	RP1-37C10.3
gene 557/5050 for chr1:	ATP13A2
gene 558/5050 for chr1:	SDHB
gene 559/5050 for chr1:	PADI2
gene 560/5050 for chr1:	RP11-380J14.1
gene 561/5050 for chr1:	RP11-380J14.4
gene 562/5050 for chr1:	PADI1
gene 563/5050 for chr1:	PADI3
gene 564/5050 for chr1:	MIR3972
gene 565/5050 for chr1:	PADI4
gene 566/5050 for chr1:	AC004824.1
gene 567/5050 for chr1:	PADI6
gene 568/5050 for chr1:	RCC2
gene 569/5050 for chr1:	RP1-20B21.4
gene 570/5050 for chr1:	ARHGEF10L
gene 571/5050 for chr1:	RP11-473A10.2
gene 572/5050 for chr1:	ACTL8
gene 573/5050 for chr1:	RP11-174G17.2
gene 574/5050 for chr1:	IGSF21
gene 575/5050 for chr1:	RP11-174G17.3
gene 576/5050 for chr1:	RP11-174G17
gene 577/5050 for chr1:	RP11-422P22.1
gene 578/5050 for chr1:	KLHDC7A
gene 579/5050 for chr1:	DYNLL1P3
gene 580/5050 for chr1:	RP1-8B22.2
gene 581/5050 for chr1:	PAX7
gene 582/5050 for chr1:	TAS1R2
gene 583/5050 for chr1:	RP13-279N23.2
gene 584/5050 for chr1:	ALDH4A1
gene 585/5050 for chr1:	MIR4695
gene 586/5050 for chr1:	MIR1290
gene 587/5050 for chr1:	IFFO2
gene 588/5050 for chr1:	RP5-1126H10.2
gene 589/5050 for chr1:	UBR4
gene 590/5050 for chr1:	RP1-43E13.2
gene 591/5050 for chr1:	EMC1
gene 592/5050 for chr1:	MRTO4
gene 593/5050 for chr1:	AKR7L
gene 594/5050 for chr1:	AKR7A3
gene 595/5050 for chr1:	RP4-657E11.10
gene 596/5050 for chr1:	AKR7A2
gene 597/5050 for chr1:	RNU6-1099P
gene 598/5050 for chr1:	PQLC2
gene 599/5050 for chr1:	CAPZB
gene 600/5050 for chr1:	RN7SL277P
gene 601/5050 for chr1:	RNU4-28P
gene 602/5050 for chr1:	RP5-1056L3.1
gene 603/5050 for chr1:	MINOS1
gene 604/5050 for chr1:	MINOS1-NBL1
gene 605/5050 for chr1:	RP5-1056L3.3
gene 606/5050 for chr1:	NBL1
gene 607/5050 for chr1:	HTR6
gene 608/5050 for chr1:	TMCO4
gene 609/5050 for chr1:	RNF186
gene 610/5050 for chr1:	RP11-91K11.2
gene 611/5050 for chr1:	OTUD3
gene 612/5050 for chr1:	PLA2G2E
gene 613/5050 for chr1:	RN7SL304P
gene 614/5050 for chr1:	PLA2G2A
gene 615/5050 for chr1:	PLA2G5
gene 616/5050 for chr1:	PLA2G2D
gene 617/5050 for chr1:	PLA2G2F
gene 618/5050 for chr1:	RP3-340N1.2
gene 619/5050 for chr1:	PLA2G2C
gene 620/5050 for chr1:	UBXN10-AS1
gene 621/5050 for chr1:	UBXN10
gene 622/5050 for chr1:	RP3-340N1.6
gene 623/5050 for chr1:	VWA5B1
gene 624/5050 for chr1:	RP4-745E8.2
gene 625/5050 for chr1:	LINC01141
gene 626/5050 for chr1:	RP4-749H3.2
gene 627/5050 for chr1:	CAMK2N1
gene 628/5050 for chr1:	MUL1
gene 629/5050 for chr1:	RPS4XP4
gene 630/5050 for chr1:	FAM43B
gene 631/5050 for chr1:	CDA
gene 632/5050 for chr1:	PINK1
gene 633/5050 for chr1:	PINK1-AS
gene 634/5050 for chr1:	DDOST
gene 635/5050 for chr1:	KIF17
gene 636/5050 for chr1:	RP5-930J4.5
gene 637/5050 for chr1:	SH2D5
gene 638/5050 for chr1:	RP5-930J4.2
gene 639/5050 for chr1:	HP1BP3
gene 640/5050 for chr1:	EIF4G3
gene 641/5050 for chr1:	RNU7-200P
